Sex,Industry of Employment,Region,Value
Females,Information Media and Telecommunications,Mernda,40
Males,Financial and Insurance Services,Mernda,132
Females,Financial and Insurance Services,Mernda,161
Males,"Rental, Hiring and Real Estate Services",Mernda,56
Females,"Rental, Hiring and Real Estate Services",Mernda,53
Males,"Professional, Scientific and Technical Services",Mernda,207
Females,"Professional, Scientific and Technical Services",Mernda,199
Males,Administrative and Support Services,Mernda,130
Females,Administrative and Support Services,Mernda,167
Males,Public Administration and Safety,Mernda,262
Females,Public Administration and Safety,Mernda,221
Males,Education and Training,Mernda,171
Females,Education and Training,Mernda,435
Males,Health Care and Social Assistance,Mernda,203
Females,Health Care and Social Assistance,Mernda,952
Males,Arts and Recreation Services,Mernda,49
Females,Arts and Recreation Services,Mernda,47
Males,Other Services,Mernda,179
Females,Other Services,Mernda,120
Males,Inadequately described and not stated,Mernda,204
Females,Inadequately described and not stated,Mernda,120
Males,"Agriculture, Forestry and Fishing",South Morang (North),16
Females,"Agriculture, Forestry and Fishing",South Morang (North),16
Males,Mining,South Morang (North),8
Females,Mining,South Morang (North),0
Males,Manufacturing,South Morang (North),372
Females,Manufacturing,South Morang (North),163
Males,"Electricity, Gas, Water and Waste Services",South Morang (North),52
Females,"Electricity, Gas, Water and Waste Services",South Morang (North),38
Males,Construction,South Morang (North),568
Females,Construction,South Morang (North),90
Males,Wholesale Trade,South Morang (North),101
Females,Wholesale Trade,South Morang (North),69
Males,Retail Trade,South Morang (North),330
Females,Retail Trade,South Morang (North),406
Males,Accommodation and Food Services,South Morang (North),145
Females,Accommodation and Food Services,South Morang (North),148
Males,"Transport, Postal and Warehousing",South Morang (North),321
Females,"Transport, Postal and Warehousing",South Morang (North),85
Males,Information Media and Telecommunications,South Morang (North),67
Females,Information Media and Telecommunications,South Morang (North),34
Males,Financial and Insurance Services,South Morang (North),125
Females,Financial and Insurance Services,South Morang (North),123
Males,"Rental, Hiring and Real Estate Services",South Morang (North),44
Females,"Rental, Hiring and Real Estate Services",South Morang (North),59
Males,"Professional, Scientific and Technical Services",South Morang (North),204
Females,"Professional, Scientific and Technical Services",South Morang (North),152
Males,Administrative and Support Services,South Morang (North),99
Females,Administrative and Support Services,South Morang (North),84
Males,Public Administration and Safety,South Morang (North),184
Females,Public Administration and Safety,South Morang (North),170
Males,Education and Training,South Morang (North),94
Females,Education and Training,South Morang (North),321
Males,Health Care and Social Assistance,South Morang (North),154
Females,Health Care and Social Assistance,South Morang (North),647
Males,Arts and Recreation Services,South Morang (North),43
Females,Arts and Recreation Services,South Morang (North),39
Males,Other Services,South Morang (North),123
Females,Other Services,South Morang (North),111
Males,Inadequately described and not stated,South Morang (North),157
Females,Inadequately described and not stated,South Morang (North),103
Males,"Agriculture, Forestry and Fishing",South Morang (South),11
Females,"Agriculture, Forestry and Fishing",South Morang (South),8
Males,Mining,South Morang (South),7
Females,Mining,South Morang (South),3
Males,Manufacturing,South Morang (South),379
Females,Manufacturing,South Morang (South),140
Males,"Electricity, Gas, Water and Waste Services",South Morang (South),49
Females,"Electricity, Gas, Water and Waste Services",South Morang (South),37
Males,Construction,South Morang (South),505
Females,Construction,South Morang (South),59
Males,Wholesale Trade,South Morang (South),118
Females,Wholesale Trade,South Morang (South),73
Males,Retail Trade,South Morang (South),297
Females,Retail Trade,South Morang (South),427
Males,Accommodation and Food Services,South Morang (South),160
Females,Accommodation and Food Services,South Morang (South),162
Males,"Transport, Postal and Warehousing",South Morang (South),279
Females,"Transport, Postal and Warehousing",South Morang (South),98
Males,Information Media and Telecommunications,South Morang (South),67
Females,Information Media and Telecommunications,South Morang (South),30
Males,Financial and Insurance Services,South Morang (South),77
Females,Financial and Insurance Services,South Morang (South),114
Males,"Rental, Hiring and Real Estate Services",South Morang (South),31
Females,"Rental, Hiring and Real Estate Services",South Morang (South),31
Males,"Professional, Scientific and Technical Services",South Morang (South),160
Females,"Professional, Scientific and Technical Services",South Morang (South),138
Males,Administrative and Support Services,South Morang (South),110
Females,Administrative and Support Services,South Morang (South),89
Males,Public Administration and Safety,South Morang (South),184
Females,Public Administration and Safety,South Morang (South),149
Males,Education and Training,South Morang (South),108
Females,Education and Training,South Morang (South),276
Males,Health Care and Social Assistance,South Morang (South),154
Females,Health Care and Social Assistance,South Morang (South),709
Males,Arts and Recreation Services,South Morang (South),25
Females,Arts and Recreation Services,South Morang (South),31
Males,Other Services,South Morang (South),119
Females,Other Services,South Morang (South),90
Males,Inadequately described and not stated,South Morang (South),157
Females,Inadequately described and not stated,South Morang (South),100
Males,"Agriculture, Forestry and Fishing",Wollert,10
Females,"Agriculture, Forestry and Fishing",Wollert,12
Males,Mining,Wollert,3
Females,Mining,Wollert,0
Males,Manufacturing,Wollert,309
Females,Manufacturing,Wollert,122
Males,"Electricity, Gas, Water and Waste Services",Wollert,44
Females,"Electricity, Gas, Water and Waste Services",Wollert,25
Males,Construction,Wollert,302
Females,Construction,Wollert,41
Males,Wholesale Trade,Wollert,90
Females,Wholesale Trade,Wollert,56
Males,Retail Trade,Wollert,196
Females,Retail Trade,Wollert,222
Males,Accommodation and Food Services,Wollert,130
Females,Accommodation and Food Services,Wollert,111
Males,"Transport, Postal and Warehousing",Wollert,371
Females,"Transport, Postal and Warehousing",Wollert,49
Males,Information Media and Telecommunications,Wollert,62
Females,Information Media and Telecommunications,Wollert,23
Males,Financial and Insurance Services,Wollert,86
Females,Financial and Insurance Services,Wollert,98
Males,"Rental, Hiring and Real Estate Services",Wollert,29
Females,"Rental, Hiring and Real Estate Services",Wollert,29
Males,"Professional, Scientific and Technical Services",Wollert,111
Females,"Professional, Scientific and Technical Services",Wollert,88
Males,Administrative and Support Services,Wollert,57
Females,Administrative and Support Services,Wollert,72
Males,Public Administration and Safety,Wollert,106
Females,Public Administration and Safety,Wollert,88
Males,Education and Training,Wollert,85
Females,Education and Training,Wollert,174
Males,Health Care and Social Assistance,Wollert,114
Females,Health Care and Social Assistance,Wollert,466
Males,Arts and Recreation Services,Wollert,24
Females,Arts and Recreation Services,Wollert,15
Males,Other Services,Wollert,88
Females,Other Services,Wollert,61
Males,Inadequately described and not stated,Wollert,142
Females,Inadequately described and not stated,Wollert,92
Males,"Agriculture, Forestry and Fishing",Airport West,3
Females,"Agriculture, Forestry and Fishing",Airport West,0
Males,Mining,Airport West,11
Females,Mining,Airport West,0
Males,Manufacturing,Airport West,161
Females,Manufacturing,Airport West,78
Males,"Electricity, Gas, Water and Waste Services",Airport West,30
Females,"Electricity, Gas, Water and Waste Services",Airport West,4
Males,Construction,Airport West,312
Females,Construction,Airport West,32
Males,Wholesale Trade,Airport West,63
Females,Wholesale Trade,Airport West,37
Males,Retail Trade,Airport West,148
Females,Retail Trade,Airport West,201
Males,Accommodation and Food Services,Airport West,85
Females,Accommodation and Food Services,Airport West,111
Males,"Transport, Postal and Warehousing",Airport West,252
Females,"Transport, Postal and Warehousing",Airport West,116
Males,Information Media and Telecommunications,Airport West,33
Females,Information Media and Telecommunications,Airport West,24
Males,Financial and Insurance Services,Airport West,65
Females,Financial and Insurance Services,Airport West,82
Males,"Rental, Hiring and Real Estate Services",Airport West,25
Females,"Rental, Hiring and Real Estate Services",Airport West,38
Males,"Professional, Scientific and Technical Services",Airport West,105
Females,"Professional, Scientific and Technical Services",Airport West,124
Males,Administrative and Support Services,Airport West,61
Females,Administrative and Support Services,Airport West,61
Males,Public Administration and Safety,Airport West,109
Females,Public Administration and Safety,Airport West,118
Males,Education and Training,Airport West,90
Females,Education and Training,Airport West,253
Males,Health Care and Social Assistance,Airport West,60
Females,Health Care and Social Assistance,Airport West,340
Males,Arts and Recreation Services,Airport West,31
Females,Arts and Recreation Services,Airport West,20
Males,Other Services,Airport West,83
Females,Other Services,Airport West,52
Males,Inadequately described and not stated,Airport West,106
Females,Inadequately described and not stated,Airport West,67
Males,"Agriculture, Forestry and Fishing",Essendon Airport,0
Females,"Agriculture, Forestry and Fishing",Essendon Airport,0
Males,Mining,Essendon Airport,0
Females,Mining,Essendon Airport,0
Males,Manufacturing,Essendon Airport,0
Females,Manufacturing,Essendon Airport,0
Males,"Electricity, Gas, Water and Waste Services",Essendon Airport,0
Females,"Electricity, Gas, Water and Waste Services",Essendon Airport,0
Males,Construction,Essendon Airport,0
Females,Construction,Essendon Airport,0
Males,Wholesale Trade,Essendon Airport,0
Females,Wholesale Trade,Essendon Airport,0
Males,Retail Trade,Essendon Airport,0
Females,Retail Trade,Essendon Airport,0
Males,Accommodation and Food Services,Essendon Airport,0
Females,Accommodation and Food Services,Essendon Airport,0
Males,"Transport, Postal and Warehousing",Essendon Airport,0
Females,"Transport, Postal and Warehousing",Essendon Airport,0
Males,Information Media and Telecommunications,Essendon Airport,0
Females,Information Media and Telecommunications,Essendon Airport,0
Males,Financial and Insurance Services,Essendon Airport,0
Females,Financial and Insurance Services,Essendon Airport,0
Males,"Rental, Hiring and Real Estate Services",Essendon Airport,0
Females,"Rental, Hiring and Real Estate Services",Essendon Airport,0
Males,"Professional, Scientific and Technical Services",Essendon Airport,0
Females,"Professional, Scientific and Technical Services",Essendon Airport,0
Males,Administrative and Support Services,Essendon Airport,0
Females,Administrative and Support Services,Essendon Airport,0
Males,Public Administration and Safety,Essendon Airport,0
Females,Public Administration and Safety,Essendon Airport,0
Males,Education and Training,Essendon Airport,0
Females,Education and Training,Essendon Airport,0
Males,Health Care and Social Assistance,Essendon Airport,0
Females,Health Care and Social Assistance,Essendon Airport,0
Males,Arts and Recreation Services,Essendon Airport,0
Females,Arts and Recreation Services,Essendon Airport,0
Males,Other Services,Essendon Airport,0
Females,Other Services,Essendon Airport,0
Males,Inadequately described and not stated,Essendon Airport,0
Females,Inadequately described and not stated,Essendon Airport,0
Males,"Agriculture, Forestry and Fishing",Keilor,15
Females,"Agriculture, Forestry and Fishing",Keilor,6
Males,Mining,Keilor,7
Females,Mining,Keilor,0
Males,Manufacturing,Keilor,189
Females,Manufacturing,Keilor,80
Males,"Electricity, Gas, Water and Waste Services",Keilor,28
Females,"Electricity, Gas, Water and Waste Services",Keilor,13
Males,Construction,Keilor,389
Females,Construction,Keilor,70
Males,Wholesale Trade,Keilor,92
Females,Wholesale Trade,Keilor,64
Males,Retail Trade,Keilor,185
Females,Retail Trade,Keilor,272
Males,Accommodation and Food Services,Keilor,107
Females,Accommodation and Food Services,Keilor,103
Males,"Transport, Postal and Warehousing",Keilor,226
Females,"Transport, Postal and Warehousing",Keilor,112
Males,Information Media and Telecommunications,Keilor,36
Females,Information Media and Telecommunications,Keilor,23
Males,Financial and Insurance Services,Keilor,77
Females,Financial and Insurance Services,Keilor,70
Males,"Rental, Hiring and Real Estate Services",Keilor,28
Females,"Rental, Hiring and Real Estate Services",Keilor,38
Males,"Professional, Scientific and Technical Services",Keilor,147
Females,"Professional, Scientific and Technical Services",Keilor,129
Males,Administrative and Support Services,Keilor,54
Females,Administrative and Support Services,Keilor,56
Males,Public Administration and Safety,Keilor,117
Females,Public Administration and Safety,Keilor,83
Males,Education and Training,Keilor,99
Females,Education and Training,Keilor,273
Males,Health Care and Social Assistance,Keilor,57
Females,Health Care and Social Assistance,Keilor,274
Males,Arts and Recreation Services,Keilor,54
Females,Arts and Recreation Services,Keilor,24
Males,Other Services,Keilor,111
Females,Other Services,Keilor,66
Males,Inadequately described and not stated,Keilor,94
Females,Inadequately described and not stated,Keilor,76
Males,"Agriculture, Forestry and Fishing",Keilor East,11
Females,"Agriculture, Forestry and Fishing",Keilor East,12
Males,Mining,Keilor East,19
Females,Mining,Keilor East,3
Males,Manufacturing,Keilor East,574
Females,Manufacturing,Keilor East,259
Males,"Electricity, Gas, Water and Waste Services",Keilor East,67
Females,"Electricity, Gas, Water and Waste Services",Keilor East,30
Males,Construction,Keilor East,878
Females,Construction,Keilor East,128
Males,Wholesale Trade,Keilor East,242
Females,Wholesale Trade,Keilor East,113
Males,Retail Trade,Keilor East,536
Females,Retail Trade,Keilor East,745
Males,Accommodation and Food Services,Keilor East,256
Females,Accommodation and Food Services,Keilor East,260
Males,"Transport, Postal and Warehousing",Keilor East,579
Females,"Transport, Postal and Warehousing",Keilor East,231
Males,Information Media and Telecommunications,Keilor East,138
Females,Information Media and Telecommunications,Keilor East,59
Males,Financial and Insurance Services,Keilor East,283
Females,Financial and Insurance Services,Keilor East,311
Males,"Rental, Hiring and Real Estate Services",Keilor East,90
Females,"Rental, Hiring and Real Estate Services",Keilor East,112
Males,"Professional, Scientific and Technical Services",Keilor East,485
Females,"Professional, Scientific and Technical Services",Keilor East,382
Males,Administrative and Support Services,Keilor East,207
Females,Administrative and Support Services,Keilor East,187
Males,Public Administration and Safety,Keilor East,328
Females,Public Administration and Safety,Keilor East,365
Males,Education and Training,Keilor East,270
Females,Education and Training,Keilor East,749
Males,Health Care and Social Assistance,Keilor East,278
Females,Health Care and Social Assistance,Keilor East,907
Males,Arts and Recreation Services,Keilor East,119
Females,Arts and Recreation Services,Keilor East,99
Males,Other Services,Keilor East,236
Females,Other Services,Keilor East,206
Males,Inadequately described and not stated,Keilor East,337
Females,Inadequately described and not stated,Keilor East,199
Males,"Agriculture, Forestry and Fishing",Niddrie - Essendon West,6
Females,"Agriculture, Forestry and Fishing",Niddrie - Essendon West,7
Males,Mining,Niddrie - Essendon West,12
Females,Mining,Niddrie - Essendon West,3
Males,Manufacturing,Niddrie - Essendon West,149
Females,Manufacturing,Niddrie - Essendon West,55
Males,"Electricity, Gas, Water and Waste Services",Niddrie - Essendon West,28
Females,"Electricity, Gas, Water and Waste Services",Niddrie - Essendon West,4
Males,Construction,Niddrie - Essendon West,292
Females,Construction,Niddrie - Essendon West,65
Males,Wholesale Trade,Niddrie - Essendon West,86
Females,Wholesale Trade,Niddrie - Essendon West,40
Males,Retail Trade,Niddrie - Essendon West,146
Females,Retail Trade,Niddrie - Essendon West,188
Males,Accommodation and Food Services,Niddrie - Essendon West,88
Females,Accommodation and Food Services,Niddrie - Essendon West,103
Males,"Transport, Postal and Warehousing",Niddrie - Essendon West,156
Females,"Transport, Postal and Warehousing",Niddrie - Essendon West,91
Males,Information Media and Telecommunications,Niddrie - Essendon West,25
Females,Information Media and Telecommunications,Niddrie - Essendon West,21
Males,Financial and Insurance Services,Niddrie - Essendon West,91
Females,Financial and Insurance Services,Niddrie - Essendon West,99
Males,"Rental, Hiring and Real Estate Services",Niddrie - Essendon West,27
Females,"Rental, Hiring and Real Estate Services",Niddrie - Essendon West,49
Males,"Professional, Scientific and Technical Services",Niddrie - Essendon West,147
Females,"Professional, Scientific and Technical Services",Niddrie - Essendon West,165
Males,Administrative and Support Services,Niddrie - Essendon West,45
Females,Administrative and Support Services,Niddrie - Essendon West,65
Males,Public Administration and Safety,Niddrie - Essendon West,116
Females,Public Administration and Safety,Niddrie - Essendon West,121
Males,Education and Training,Niddrie - Essendon West,94
Females,Education and Training,Niddrie - Essendon West,281
Males,Health Care and Social Assistance,Niddrie - Essendon West,78
Females,Health Care and Social Assistance,Niddrie - Essendon West,268
Males,Arts and Recreation Services,Niddrie - Essendon West,50
Females,Arts and Recreation Services,Niddrie - Essendon West,40
Males,Other Services,Niddrie - Essendon West,59
Females,Other Services,Niddrie - Essendon West,51
Males,Inadequately described and not stated,Niddrie - Essendon West,87
Females,Inadequately described and not stated,Niddrie - Essendon West,59
Males,"Agriculture, Forestry and Fishing",Strathmore,4
Females,"Agriculture, Forestry and Fishing",Strathmore,3
Males,Mining,Strathmore,9
Females,Mining,Strathmore,0
Males,Manufacturing,Strathmore,194
Females,Manufacturing,Strathmore,76
Males,"Electricity, Gas, Water and Waste Services",Strathmore,39
Females,"Electricity, Gas, Water and Waste Services",Strathmore,14
Males,Construction,Strathmore,392
Females,Construction,Strathmore,72
Males,Wholesale Trade,Strathmore,109
Females,Wholesale Trade,Strathmore,53
Males,Retail Trade,Strathmore,197
Females,Retail Trade,Strathmore,248
Males,Accommodation and Food Services,Strathmore,97
Females,Accommodation and Food Services,Strathmore,125
Males,"Transport, Postal and Warehousing",Strathmore,205
Females,"Transport, Postal and Warehousing",Strathmore,87
Males,Information Media and Telecommunications,Strathmore,58
Females,Information Media and Telecommunications,Strathmore,42
Males,Financial and Insurance Services,Strathmore,122
Females,Financial and Insurance Services,Strathmore,120
Males,"Rental, Hiring and Real Estate Services",Strathmore,56
Females,"Rental, Hiring and Real Estate Services",Strathmore,50
Males,"Professional, Scientific and Technical Services",Strathmore,259
Females,"Professional, Scientific and Technical Services",Strathmore,194
Males,Administrative and Support Services,Strathmore,66
Females,Administrative and Support Services,Strathmore,63
Males,Public Administration and Safety,Strathmore,165
Females,Public Administration and Safety,Strathmore,143
Males,Education and Training,Strathmore,131
Females,Education and Training,Strathmore,378
Males,Health Care and Social Assistance,Strathmore,143
Females,Health Care and Social Assistance,Strathmore,415
Males,Arts and Recreation Services,Strathmore,66
Females,Arts and Recreation Services,Strathmore,56
Males,Other Services,Strathmore,80
Females,Other Services,Strathmore,71
Males,Inadequately described and not stated,Strathmore,99
Females,Inadequately described and not stated,Strathmore,68
Males,"Agriculture, Forestry and Fishing",Gisborne,38
Females,"Agriculture, Forestry and Fishing",Gisborne,28
Males,Mining,Gisborne,8
Females,Mining,Gisborne,0
Males,Manufacturing,Gisborne,309
Females,Manufacturing,Gisborne,116
Males,"Electricity, Gas, Water and Waste Services",Gisborne,41
Females,"Electricity, Gas, Water and Waste Services",Gisborne,23
Males,Construction,Gisborne,713
Females,Construction,Gisborne,103
Males,Wholesale Trade,Gisborne,109
Females,Wholesale Trade,Gisborne,48
Males,Retail Trade,Gisborne,209
Females,Retail Trade,Gisborne,297
Males,Accommodation and Food Services,Gisborne,123
Females,Accommodation and Food Services,Gisborne,157
Males,"Transport, Postal and Warehousing",Gisborne,334
Females,"Transport, Postal and Warehousing",Gisborne,124
Males,Information Media and Telecommunications,Gisborne,57
Females,Information Media and Telecommunications,Gisborne,24
Males,Financial and Insurance Services,Gisborne,113
Females,Financial and Insurance Services,Gisborne,142
Males,"Rental, Hiring and Real Estate Services",Gisborne,55
Females,"Rental, Hiring and Real Estate Services",Gisborne,41
Males,"Professional, Scientific and Technical Services",Gisborne,232
Females,"Professional, Scientific and Technical Services",Gisborne,190
Males,Administrative and Support Services,Gisborne,99
Females,Administrative and Support Services,Gisborne,126
Males,Public Administration and Safety,Gisborne,257
Females,Public Administration and Safety,Gisborne,229
Males,Education and Training,Gisborne,154
Females,Education and Training,Gisborne,485
Males,Health Care and Social Assistance,Gisborne,85
Females,Health Care and Social Assistance,Gisborne,559
Males,Arts and Recreation Services,Gisborne,68
Females,Arts and Recreation Services,Gisborne,50
Males,Other Services,Gisborne,98
Females,Other Services,Gisborne,105
Males,Inadequately described and not stated,Gisborne,135
Females,Inadequately described and not stated,Gisborne,104
Males,"Agriculture, Forestry and Fishing",Macedon,15
Females,"Agriculture, Forestry and Fishing",Macedon,10
Males,Mining,Macedon,0
Females,Mining,Macedon,0
Males,Manufacturing,Macedon,58
Females,Manufacturing,Macedon,31
Males,"Electricity, Gas, Water and Waste Services",Macedon,8
Females,"Electricity, Gas, Water and Waste Services",Macedon,7
Males,Construction,Macedon,132
Females,Construction,Macedon,16
Males,Wholesale Trade,Macedon,34
Females,Wholesale Trade,Macedon,8
Males,Retail Trade,Macedon,49
Females,Retail Trade,Macedon,57
Males,Accommodation and Food Services,Macedon,50
Females,Accommodation and Food Services,Macedon,36
Males,"Transport, Postal and Warehousing",Macedon,78
Females,"Transport, Postal and Warehousing",Macedon,16
Males,Information Media and Telecommunications,Macedon,15
Females,Information Media and Telecommunications,Macedon,20
Males,Financial and Insurance Services,Macedon,27
Females,Financial and Insurance Services,Macedon,31
Males,"Rental, Hiring and Real Estate Services",Macedon,14
Females,"Rental, Hiring and Real Estate Services",Macedon,10
Males,"Professional, Scientific and Technical Services",Macedon,93
Females,"Professional, Scientific and Technical Services",Macedon,57
Males,Administrative and Support Services,Macedon,29
Females,Administrative and Support Services,Macedon,29
Males,Public Administration and Safety,Macedon,60
Females,Public Administration and Safety,Macedon,56
Males,Education and Training,Macedon,57
Females,Education and Training,Macedon,153
Males,Health Care and Social Assistance,Macedon,41
Females,Health Care and Social Assistance,Macedon,126
Males,Arts and Recreation Services,Macedon,19
Females,Arts and Recreation Services,Macedon,21
Males,Other Services,Macedon,20
Females,Other Services,Macedon,20
Males,Inadequately described and not stated,Macedon,51
Females,Inadequately described and not stated,Macedon,30
Males,"Agriculture, Forestry and Fishing",Riddells Creek,27
Females,"Agriculture, Forestry and Fishing",Riddells Creek,14
Males,Mining,Riddells Creek,4
Females,Mining,Riddells Creek,0
Males,Manufacturing,Riddells Creek,103
Females,Manufacturing,Riddells Creek,45
Males,"Electricity, Gas, Water and Waste Services",Riddells Creek,18
Females,"Electricity, Gas, Water and Waste Services",Riddells Creek,10
Males,Construction,Riddells Creek,227
Females,Construction,Riddells Creek,23
Males,Wholesale Trade,Riddells Creek,38
Females,Wholesale Trade,Riddells Creek,16
Males,Retail Trade,Riddells Creek,55
Females,Retail Trade,Riddells Creek,107
Males,Accommodation and Food Services,Riddells Creek,25
Females,Accommodation and Food Services,Riddells Creek,65
Males,"Transport, Postal and Warehousing",Riddells Creek,131
Females,"Transport, Postal and Warehousing",Riddells Creek,48
Males,Information Media and Telecommunications,Riddells Creek,12
Females,Information Media and Telecommunications,Riddells Creek,11
Males,Financial and Insurance Services,Riddells Creek,22
Females,Financial and Insurance Services,Riddells Creek,54
Males,"Rental, Hiring and Real Estate Services",Riddells Creek,14
Females,"Rental, Hiring and Real Estate Services",Riddells Creek,13
Males,"Professional, Scientific and Technical Services",Riddells Creek,66
Females,"Professional, Scientific and Technical Services",Riddells Creek,70
Males,Administrative and Support Services,Riddells Creek,19
Females,Administrative and Support Services,Riddells Creek,22
Males,Public Administration and Safety,Riddells Creek,81
Females,Public Administration and Safety,Riddells Creek,91
Males,Education and Training,Riddells Creek,54
Females,Education and Training,Riddells Creek,157
Males,Health Care and Social Assistance,Riddells Creek,28
Females,Health Care and Social Assistance,Riddells Creek,213
Males,Arts and Recreation Services,Riddells Creek,23
Females,Arts and Recreation Services,Riddells Creek,18
Males,Other Services,Riddells Creek,57
Females,Other Services,Riddells Creek,36
Males,Inadequately described and not stated,Riddells Creek,51
Females,Inadequately described and not stated,Riddells Creek,33
Males,"Agriculture, Forestry and Fishing",Romsey,124
Females,"Agriculture, Forestry and Fishing",Romsey,69
Males,Mining,Romsey,10
Females,Mining,Romsey,3
Males,Manufacturing,Romsey,247
Females,Manufacturing,Romsey,103
Males,"Electricity, Gas, Water and Waste Services",Romsey,35
Females,"Electricity, Gas, Water and Waste Services",Romsey,6
Males,Construction,Romsey,502
Females,Construction,Romsey,57
Males,Wholesale Trade,Romsey,81
Females,Wholesale Trade,Romsey,37
Males,Retail Trade,Romsey,138
Females,Retail Trade,Romsey,211
Males,Accommodation and Food Services,Romsey,68
Females,Accommodation and Food Services,Romsey,140
Males,"Transport, Postal and Warehousing",Romsey,309
Females,"Transport, Postal and Warehousing",Romsey,113
Males,Information Media and Telecommunications,Romsey,40
Females,Information Media and Telecommunications,Romsey,24
Males,Financial and Insurance Services,Romsey,41
Females,Financial and Insurance Services,Romsey,65
Males,"Rental, Hiring and Real Estate Services",Romsey,27
Females,"Rental, Hiring and Real Estate Services",Romsey,35
Males,"Professional, Scientific and Technical Services",Romsey,112
Females,"Professional, Scientific and Technical Services",Romsey,141
Males,Administrative and Support Services,Romsey,66
Females,Administrative and Support Services,Romsey,81
Males,Public Administration and Safety,Romsey,163
Females,Public Administration and Safety,Romsey,138
Males,Education and Training,Romsey,89
Females,Education and Training,Romsey,270
Males,Health Care and Social Assistance,Romsey,51
Females,Health Care and Social Assistance,Romsey,361
Males,Arts and Recreation Services,Romsey,39
Females,Arts and Recreation Services,Romsey,48
Males,Other Services,Romsey,127
Females,Other Services,Romsey,71
Males,Inadequately described and not stated,Romsey,120
Females,Inadequately described and not stated,Romsey,64
Males,"Agriculture, Forestry and Fishing",Coburg North,7
Females,"Agriculture, Forestry and Fishing",Coburg North,6
Males,Mining,Coburg North,3
Females,Mining,Coburg North,3
Males,Manufacturing,Coburg North,122
Females,Manufacturing,Coburg North,74
Males,"Electricity, Gas, Water and Waste Services",Coburg North,12
Females,"Electricity, Gas, Water and Waste Services",Coburg North,10
Males,Construction,Coburg North,198
Females,Construction,Coburg North,19
Males,Wholesale Trade,Coburg North,68
Females,Wholesale Trade,Coburg North,31
Males,Retail Trade,Coburg North,160
Females,Retail Trade,Coburg North,164
Males,Accommodation and Food Services,Coburg North,138
Females,Accommodation and Food Services,Coburg North,108
Males,"Transport, Postal and Warehousing",Coburg North,134
Females,"Transport, Postal and Warehousing",Coburg North,37
Males,Information Media and Telecommunications,Coburg North,59
Females,Information Media and Telecommunications,Coburg North,42
Males,Financial and Insurance Services,Coburg North,78
Females,Financial and Insurance Services,Coburg North,77
Males,"Rental, Hiring and Real Estate Services",Coburg North,18
Females,"Rental, Hiring and Real Estate Services",Coburg North,27
Males,"Professional, Scientific and Technical Services",Coburg North,208
Females,"Professional, Scientific and Technical Services",Coburg North,131
Males,Administrative and Support Services,Coburg North,79
Females,Administrative and Support Services,Coburg North,72
Males,Public Administration and Safety,Coburg North,110
Females,Public Administration and Safety,Coburg North,153
Males,Education and Training,Coburg North,152
Females,Education and Training,Coburg North,242
Males,Health Care and Social Assistance,Coburg North,93
Females,Health Care and Social Assistance,Coburg North,306
Males,Arts and Recreation Services,Coburg North,61
Females,Arts and Recreation Services,Coburg North,42
Males,Other Services,Coburg North,85
Females,Other Services,Coburg North,56
Males,Inadequately described and not stated,Coburg North,99
Females,Inadequately described and not stated,Coburg North,63
Males,"Agriculture, Forestry and Fishing",Fawkner,8
Females,"Agriculture, Forestry and Fishing",Fawkner,0
Males,Mining,Fawkner,3
Females,Mining,Fawkner,0
Males,Manufacturing,Fawkner,265
Females,Manufacturing,Fawkner,76
Males,"Electricity, Gas, Water and Waste Services",Fawkner,32
Females,"Electricity, Gas, Water and Waste Services",Fawkner,14
Males,Construction,Fawkner,372
Females,Construction,Fawkner,17
Males,Wholesale Trade,Fawkner,97
Females,Wholesale Trade,Fawkner,45
Males,Retail Trade,Fawkner,258
Females,Retail Trade,Fawkner,243
Males,Accommodation and Food Services,Fawkner,248
Females,Accommodation and Food Services,Fawkner,150
Males,"Transport, Postal and Warehousing",Fawkner,330
Females,"Transport, Postal and Warehousing",Fawkner,49
Males,Information Media and Telecommunications,Fawkner,69
Females,Information Media and Telecommunications,Fawkner,14
Males,Financial and Insurance Services,Fawkner,90
Females,Financial and Insurance Services,Fawkner,92
Males,"Rental, Hiring and Real Estate Services",Fawkner,25
Females,"Rental, Hiring and Real Estate Services",Fawkner,21
Males,"Professional, Scientific and Technical Services",Fawkner,194
Females,"Professional, Scientific and Technical Services",Fawkner,95
Males,Administrative and Support Services,Fawkner,120
Females,Administrative and Support Services,Fawkner,76
Males,Public Administration and Safety,Fawkner,155
Females,Public Administration and Safety,Fawkner,111
Males,Education and Training,Fawkner,153
Females,Education and Training,Fawkner,259
Males,Health Care and Social Assistance,Fawkner,114
Females,Health Care and Social Assistance,Fawkner,440
Males,Arts and Recreation Services,Fawkner,46
Females,Arts and Recreation Services,Fawkner,32
Males,Other Services,Fawkner,122
Females,Other Services,Fawkner,66
Males,Inadequately described and not stated,Fawkner,245
Females,Inadequately described and not stated,Fawkner,83
Males,"Agriculture, Forestry and Fishing",Pascoe Vale,17
Females,"Agriculture, Forestry and Fishing",Pascoe Vale,13
Males,Mining,Pascoe Vale,4
Females,Mining,Pascoe Vale,6
Males,Manufacturing,Pascoe Vale,485
Females,Manufacturing,Pascoe Vale,232
Males,"Electricity, Gas, Water and Waste Services",Pascoe Vale,86
Females,"Electricity, Gas, Water and Waste Services",Pascoe Vale,33
