Sex,Industry of Employment,Region,Value
Males,Manufacturing,Coburg,484
Females,Manufacturing,Coburg,189
Males,"Electricity, Gas, Water and Waste Services",Coburg,88
Females,"Electricity, Gas, Water and Waste Services",Coburg,47
Males,Construction,Coburg,732
Females,Construction,Coburg,84
Males,Wholesale Trade,Coburg,220
Females,Wholesale Trade,Coburg,108
Males,Retail Trade,Coburg,510
Females,Retail Trade,Coburg,646
Males,Accommodation and Food Services,Coburg,577
Females,Accommodation and Food Services,Coburg,448
Males,"Transport, Postal and Warehousing",Coburg,434
Females,"Transport, Postal and Warehousing",Coburg,121
Males,Information Media and Telecommunications,Coburg,244
Females,Information Media and Telecommunications,Coburg,163
Males,Financial and Insurance Services,Coburg,297
Females,Financial and Insurance Services,Coburg,247
Males,"Rental, Hiring and Real Estate Services",Coburg,85
Females,"Rental, Hiring and Real Estate Services",Coburg,72
Males,"Professional, Scientific and Technical Services",Coburg,790
Females,"Professional, Scientific and Technical Services",Coburg,590
Males,Administrative and Support Services,Coburg,212
Females,Administrative and Support Services,Coburg,196
Males,Public Administration and Safety,Coburg,398
Females,Public Administration and Safety,Coburg,517
Males,Education and Training,Coburg,590
Females,Education and Training,Coburg,1092
Males,Health Care and Social Assistance,Coburg,399
Females,Health Care and Social Assistance,Coburg,1254
Males,Arts and Recreation Services,Coburg,183
Females,Arts and Recreation Services,Coburg,189
Males,Other Services,Coburg,219
Females,Other Services,Coburg,219
Males,Inadequately described and not stated,Coburg,332
Females,Inadequately described and not stated,Coburg,220
Males,"Agriculture, Forestry and Fishing",Pascoe Vale South,7
Females,"Agriculture, Forestry and Fishing",Pascoe Vale South,3
Males,Mining,Pascoe Vale South,3
Females,Mining,Pascoe Vale South,0
Males,Manufacturing,Pascoe Vale South,179
Females,Manufacturing,Pascoe Vale South,94
Males,"Electricity, Gas, Water and Waste Services",Pascoe Vale South,31
Females,"Electricity, Gas, Water and Waste Services",Pascoe Vale South,14
Males,Construction,Pascoe Vale South,360
Females,Construction,Pascoe Vale South,39
Males,Wholesale Trade,Pascoe Vale South,104
Females,Wholesale Trade,Pascoe Vale South,50
Males,Retail Trade,Pascoe Vale South,223
Females,Retail Trade,Pascoe Vale South,258
Males,Accommodation and Food Services,Pascoe Vale South,130
Females,Accommodation and Food Services,Pascoe Vale South,122
Males,"Transport, Postal and Warehousing",Pascoe Vale South,154
Females,"Transport, Postal and Warehousing",Pascoe Vale South,71
Males,Information Media and Telecommunications,Pascoe Vale South,61
Females,Information Media and Telecommunications,Pascoe Vale South,58
Males,Financial and Insurance Services,Pascoe Vale South,150
Females,Financial and Insurance Services,Pascoe Vale South,126
Males,"Rental, Hiring and Real Estate Services",Pascoe Vale South,30
Females,"Rental, Hiring and Real Estate Services",Pascoe Vale South,38
Males,"Professional, Scientific and Technical Services",Pascoe Vale South,256
Females,"Professional, Scientific and Technical Services",Pascoe Vale South,204
Males,Administrative and Support Services,Pascoe Vale South,62
Females,Administrative and Support Services,Pascoe Vale South,64
Males,Public Administration and Safety,Pascoe Vale South,162
Females,Public Administration and Safety,Pascoe Vale South,167
Males,Education and Training,Pascoe Vale South,164
Females,Education and Training,Pascoe Vale South,377
Males,Health Care and Social Assistance,Pascoe Vale South,109
Females,Health Care and Social Assistance,Pascoe Vale South,473
Males,Arts and Recreation Services,Pascoe Vale South,83
Females,Arts and Recreation Services,Pascoe Vale South,52
Males,Other Services,Pascoe Vale South,83
Females,Other Services,Pascoe Vale South,66
Males,Inadequately described and not stated,Pascoe Vale South,112
Females,Inadequately described and not stated,Pascoe Vale South,75
Males,"Agriculture, Forestry and Fishing",Alphington - Fairfield,16
Females,"Agriculture, Forestry and Fishing",Alphington - Fairfield,3
Males,Mining,Alphington - Fairfield,6
Females,Mining,Alphington - Fairfield,5
Males,Manufacturing,Alphington - Fairfield,151
Females,Manufacturing,Alphington - Fairfield,81
Males,"Electricity, Gas, Water and Waste Services",Alphington - Fairfield,39
Females,"Electricity, Gas, Water and Waste Services",Alphington - Fairfield,22
Males,Construction,Alphington - Fairfield,209
Females,Construction,Alphington - Fairfield,24
Males,Wholesale Trade,Alphington - Fairfield,63
Females,Wholesale Trade,Alphington - Fairfield,54
Males,Retail Trade,Alphington - Fairfield,168
Females,Retail Trade,Alphington - Fairfield,229
