Sex,Age,Region,Value
Males,0 - 4,Elsternwick,332
Females,0 - 4,Elsternwick,363
Males,0 - 4,Hughesdale,239
Females,0 - 4,Hughesdale,240
Males,0 - 4,Murrumbeena,281
Females,0 - 4,Murrumbeena,266
Males,0 - 4,Ormond - Glen Huntly,361
Females,0 - 4,Ormond - Glen Huntly,384
Males,0 - 4,Bentleigh East (North),484
Females,0 - 4,Bentleigh East (North),449
Males,0 - 4,Bentleigh East (South),497
Females,0 - 4,Bentleigh East (South),458
Males,0 - 4,Aspendale Gardens - Waterways,266
Females,0 - 4,Aspendale Gardens - Waterways,245
Males,0 - 4,Braeside,0
Females,0 - 4,Braeside,0
Males,0 - 4,Carrum - Patterson Lakes,316
Females,0 - 4,Carrum - Patterson Lakes,333
Males,0 - 4,Chelsea - Bonbeach,480
Females,0 - 4,Chelsea - Bonbeach,514
Males,0 - 4,Chelsea Heights,181
Females,0 - 4,Chelsea Heights,181
Males,0 - 4,Cheltenham - Highett (East),698
Females,0 - 4,Cheltenham - Highett (East),709
Males,0 - 4,Edithvale - Aspendale,455
Females,0 - 4,Edithvale - Aspendale,401
Males,0 - 4,Mentone,350
Females,0 - 4,Mentone,333
Males,0 - 4,Moorabbin - Heatherton,314
Females,0 - 4,Moorabbin - Heatherton,265
Males,0 - 4,Moorabbin Airport,0
Females,0 - 4,Moorabbin Airport,0
Males,0 - 4,Mordialloc - Parkdale,579
Females,0 - 4,Mordialloc - Parkdale,579
Males,0 - 4,Malvern - Glen Iris,551
Females,0 - 4,Malvern - Glen Iris,451
Males,0 - 4,Malvern East,542
Females,0 - 4,Malvern East,541
Males,0 - 4,Bundoora - East,283
Females,0 - 4,Bundoora - East,278
Males,0 - 4,Greensborough,641
Females,0 - 4,Greensborough,645
Males,0 - 4,Heidelberg - Rosanna,526
Females,0 - 4,Heidelberg - Rosanna,526
Males,0 - 4,Heidelberg West,507
Females,0 - 4,Heidelberg West,519
Males,0 - 4,Ivanhoe,294
Females,0 - 4,Ivanhoe,289
Males,0 - 4,Ivanhoe East - Eaglemont,182
Females,0 - 4,Ivanhoe East - Eaglemont,157
Males,0 - 4,Montmorency - Briar Hill,571
Females,0 - 4,Montmorency - Briar Hill,519
Males,0 - 4,Viewbank - Yallambie,635
Females,0 - 4,Viewbank - Yallambie,563
Males,0 - 4,Watsonia,298
Females,0 - 4,Watsonia,304
Males,0 - 4,Kingsbury,251
Females,0 - 4,Kingsbury,224
Males,0 - 4,Reservoir - East,866
Females,0 - 4,Reservoir - East,918
Males,0 - 4,Reservoir - West,863
Females,0 - 4,Reservoir - West,794
Males,0 - 4,Preston - East,577
Females,0 - 4,Preston - East,572
Males,0 - 4,Preston - West,407
Females,0 - 4,Preston - West,391
Males,0 - 4,Eltham,605
Females,0 - 4,Eltham,649
Males,0 - 4,Hurstbridge,86
Females,0 - 4,Hurstbridge,106
Males,0 - 4,Kinglake,108
Females,0 - 4,Kinglake,110
Males,0 - 4,Panton Hill - St Andrews,97
Females,0 - 4,Panton Hill - St Andrews,89
Males,0 - 4,Plenty - Yarrambat,255
Females,0 - 4,Plenty - Yarrambat,211
Males,0 - 4,Research - North Warrandyte,205
Females,0 - 4,Research - North Warrandyte,180
Males,0 - 4,Wattle Glen - Diamond Creek,400
Females,0 - 4,Wattle Glen - Diamond Creek,375
Males,0 - 4,Bundoora - North,231
Females,0 - 4,Bundoora - North,173
Males,0 - 4,Bundoora - West,183
Females,0 - 4,Bundoora - West,141
Males,0 - 4,Lalor,807
Females,0 - 4,Lalor,787
Males,0 - 4,Mill Park - North,468
Females,0 - 4,Mill Park - North,451
Males,0 - 4,Mill Park - South,375
Females,0 - 4,Mill Park - South,377
Males,0 - 4,Thomastown,629
Females,0 - 4,Thomastown,595
Males,0 - 4,Wallan,706
Females,0 - 4,Wallan,630
Males,0 - 4,Whittlesea,214
Females,0 - 4,Whittlesea,223
Males,0 - 4,Doreen,1202
Females,0 - 4,Doreen,1221
Males,0 - 4,Epping - East,474
Females,0 - 4,Epping - East,474
Males,0 - 4,Epping - South,307
Females,0 - 4,Epping - South,270
Males,0 - 4,Epping - West,702
Females,0 - 4,Epping - West,598
Males,0 - 4,Mernda,1033
Females,0 - 4,Mernda,1062
Males,0 - 4,South Morang (North),567
Females,0 - 4,South Morang (North),518
Males,0 - 4,South Morang (South),434
Females,0 - 4,South Morang (South),363
Males,0 - 4,Wollert,660
Females,0 - 4,Wollert,625
Males,0 - 4,Airport West,229
Females,0 - 4,Airport West,230
Males,0 - 4,Essendon Airport,0
Females,0 - 4,Essendon Airport,0
Males,0 - 4,Keilor,239
Females,0 - 4,Keilor,199
Males,0 - 4,Keilor East,715
Females,0 - 4,Keilor East,747
Males,0 - 4,Niddrie - Essendon West,215
Females,0 - 4,Niddrie - Essendon West,200
Males,0 - 4,Strathmore,253
Females,0 - 4,Strathmore,229
Males,0 - 4,Gisborne,488
Females,0 - 4,Gisborne,439
Males,0 - 4,Macedon,94
Females,0 - 4,Macedon,93
Males,0 - 4,Riddells Creek,113
Females,0 - 4,Riddells Creek,101
Males,0 - 4,Romsey,274
Females,0 - 4,Romsey,308
Males,0 - 4,Coburg North,328
Females,0 - 4,Coburg North,257
Males,0 - 4,Fawkner,594
Females,0 - 4,Fawkner,536
Males,0 - 4,Pascoe Vale,816
Females,0 - 4,Pascoe Vale,810
Males,0 - 4,Glenroy,846
Females,0 - 4,Glenroy,788
Males,0 - 4,Gowanbrae,114
Females,0 - 4,Gowanbrae,109
Males,0 - 4,Hadfield,206
