Sex,Age,Region,Value
Males,30 - 34,Abbotsford,769
Females,30 - 34,Abbotsford,716
Males,30 - 34,Carlton North - Princes Hill,483
Females,30 - 34,Carlton North - Princes Hill,543
Males,30 - 34,Collingwood,689
Females,30 - 34,Collingwood,689
Males,30 - 34,Fitzroy,711
Females,30 - 34,Fitzroy,754
Males,30 - 34,Fitzroy North,672
Females,30 - 34,Fitzroy North,800
Males,30 - 34,Richmond (Vic.),2397
Females,30 - 34,Richmond (Vic.),2324
Males,30 - 34,Yarra - North,443
Females,30 - 34,Yarra - North,494
Males,30 - 34,Ashburton (Vic.),188
Females,30 - 34,Ashburton (Vic.),197
Males,30 - 34,Balwyn,321
Females,30 - 34,Balwyn,381
Males,30 - 34,Balwyn North,358
Females,30 - 34,Balwyn North,375
Males,30 - 34,Camberwell,523
Females,30 - 34,Camberwell,567
Males,30 - 34,Glen Iris - East,404
Females,30 - 34,Glen Iris - East,419
Males,30 - 34,Hawthorn,1286
Females,30 - 34,Hawthorn,1304
Males,30 - 34,Hawthorn East,723
Females,30 - 34,Hawthorn East,717
Males,30 - 34,Kew,784
Females,30 - 34,Kew,763
Males,30 - 34,Kew East,150
Females,30 - 34,Kew East,171
Males,30 - 34,Surrey Hills (West) - Canterbury,323
Females,30 - 34,Surrey Hills (West) - Canterbury,339
Males,30 - 34,Bulleen,310
Females,30 - 34,Bulleen,311
Males,30 - 34,Doncaster,706
Females,30 - 34,Doncaster,707
Males,30 - 34,Templestowe,411
Females,30 - 34,Templestowe,434
Males,30 - 34,Templestowe Lower,343
Females,30 - 34,Templestowe Lower,371
Males,30 - 34,Doncaster East (North),333
Females,30 - 34,Doncaster East (North),373
Males,30 - 34,Doncaster East (South),475
Females,30 - 34,Doncaster East (South),546
Males,30 - 34,Blackburn,634
Females,30 - 34,Blackburn,726
Males,30 - 34,Blackburn South,317
Females,30 - 34,Blackburn South,328
Males,30 - 34,Box Hill,823
Females,30 - 34,Box Hill,839
Males,30 - 34,Box Hill North,598
Females,30 - 34,Box Hill North,636
Males,30 - 34,Burwood,394
Females,30 - 34,Burwood,380
Males,30 - 34,Burwood East,348
Females,30 - 34,Burwood East,311
Males,30 - 34,Surrey Hills (East) - Mont Albert,266
Females,30 - 34,Surrey Hills (East) - Mont Albert,294
Males,30 - 34,Beaumaris,144
Females,30 - 34,Beaumaris,188
Males,30 - 34,Brighton (Vic.),479
Females,30 - 34,Brighton (Vic.),549
Males,30 - 34,Brighton East,269
Females,30 - 34,Brighton East,314
Males,30 - 34,Cheltenham - Highett (West),318
Females,30 - 34,Cheltenham - Highett (West),393
Males,30 - 34,Hampton,368
Females,30 - 34,Hampton,477
Males,30 - 34,Sandringham - Black Rock,365
Females,30 - 34,Sandringham - Black Rock,366
Males,30 - 34,Bentleigh - McKinnon,599
Females,30 - 34,Bentleigh - McKinnon,661
Males,30 - 34,Carnegie,968
Females,30 - 34,Carnegie,1024
Males,30 - 34,Caulfield - North,892
Females,30 - 34,Caulfield - North,864
Males,30 - 34,Caulfield - South,574
Females,30 - 34,Caulfield - South,578
Males,30 - 34,Elsternwick,501
Females,30 - 34,Elsternwick,529
Males,30 - 34,Hughesdale,328
Females,30 - 34,Hughesdale,336
Males,30 - 34,Murrumbeena,399
Females,30 - 34,Murrumbeena,399
Males,30 - 34,Ormond - Glen Huntly,734
Females,30 - 34,Ormond - Glen Huntly,744
Males,30 - 34,Bentleigh East (North),373
Females,30 - 34,Bentleigh East (North),477
Males,30 - 34,Bentleigh East (South),379
Females,30 - 34,Bentleigh East (South),454
Males,30 - 34,Aspendale Gardens - Waterways,190
Females,30 - 34,Aspendale Gardens - Waterways,232
Males,30 - 34,Braeside,0
Females,30 - 34,Braeside,0
Males,30 - 34,Carrum - Patterson Lakes,306
Females,30 - 34,Carrum - Patterson Lakes,347
Males,30 - 34,Chelsea - Bonbeach,564
Females,30 - 34,Chelsea - Bonbeach,634
Males,30 - 34,Chelsea Heights,164
Females,30 - 34,Chelsea Heights,180
Males,30 - 34,Cheltenham - Highett (East),826
Females,30 - 34,Cheltenham - Highett (East),866
Males,30 - 34,Edithvale - Aspendale,408
Females,30 - 34,Edithvale - Aspendale,453
Males,30 - 34,Mentone,425
Females,30 - 34,Mentone,461
Males,30 - 34,Moorabbin - Heatherton,271
Females,30 - 34,Moorabbin - Heatherton,304
Males,30 - 34,Moorabbin Airport,0
Females,30 - 34,Moorabbin Airport,0
Males,30 - 34,Mordialloc - Parkdale,550
Females,30 - 34,Mordialloc - Parkdale,607
Males,30 - 34,Malvern - Glen Iris,804
Females,30 - 34,Malvern - Glen Iris,824
Males,30 - 34,Malvern East,583
Females,30 - 34,Malvern East,614
Males,30 - 34,Bundoora - East,306
Females,30 - 34,Bundoora - East,333
Males,30 - 34,Greensborough,635
Females,30 - 34,Greensborough,693
Males,30 - 34,Heidelberg - Rosanna,531
Females,30 - 34,Heidelberg - Rosanna,549
Males,30 - 34,Heidelberg West,655
Females,30 - 34,Heidelberg West,657
Males,30 - 34,Ivanhoe,372
Females,30 - 34,Ivanhoe,446
Males,30 - 34,Ivanhoe East - Eaglemont,147
Females,30 - 34,Ivanhoe East - Eaglemont,182
Males,30 - 34,Montmorency - Briar Hill,487
Females,30 - 34,Montmorency - Briar Hill,510
Males,30 - 34,Viewbank - Yallambie,544
Females,30 - 34,Viewbank - Yallambie,617
Males,30 - 34,Watsonia,327
Females,30 - 34,Watsonia,361
Males,30 - 34,Kingsbury,390
Females,30 - 34,Kingsbury,359
Males,30 - 34,Reservoir - East,1417
Females,30 - 34,Reservoir - East,1369
Males,30 - 34,Reservoir - West,1130
Females,30 - 34,Reservoir - West,1111
Males,30 - 34,Preston - East,1074
Females,30 - 34,Preston - East,1007
Males,30 - 34,Preston - West,536
Females,30 - 34,Preston - West,559
Males,30 - 34,Eltham,479
Females,30 - 34,Eltham,528
Males,30 - 34,Hurstbridge,78
Females,30 - 34,Hurstbridge,78
Males,30 - 34,Kinglake,107
Females,30 - 34,Kinglake,116
Males,30 - 34,Panton Hill - St Andrews,85
Females,30 - 34,Panton Hill - St Andrews,95
Males,30 - 34,Plenty - Yarrambat,243
Females,30 - 34,Plenty - Yarrambat,228
Males,30 - 34,Research - North Warrandyte,106
Females,30 - 34,Research - North Warrandyte,135
Males,30 - 34,Wattle Glen - Diamond Creek,336
Females,30 - 34,Wattle Glen - Diamond Creek,382
Males,30 - 34,Bundoora - North,286
Females,30 - 34,Bundoora - North,313
Males,30 - 34,Bundoora - West,256
Females,30 - 34,Bundoora - West,235
Males,30 - 34,Lalor,1007
Females,30 - 34,Lalor,921
Males,30 - 34,Mill Park - North,608
Females,30 - 34,Mill Park - North,565
Males,30 - 34,Mill Park - South,458
Females,30 - 34,Mill Park - South,488
Males,30 - 34,Thomastown,864
Females,30 - 34,Thomastown,772
Males,30 - 34,Wallan,662
Females,30 - 34,Wallan,673
Males,30 - 34,Whittlesea,184
Females,30 - 34,Whittlesea,222
Males,30 - 34,Doreen,963
Females,30 - 34,Doreen,1113
Males,30 - 34,Epping - East,499
Females,30 - 34,Epping - East,527
Males,30 - 34,Epping - South,366
Females,30 - 34,Epping - South,387
Males,30 - 34,Epping - West,678
Females,30 - 34,Epping - West,739
Males,30 - 34,Mernda,970
Females,30 - 34,Mernda,1108
Males,30 - 34,South Morang (North),494
Females,30 - 34,South Morang (North),581
Males,30 - 34,South Morang (South),421
Females,30 - 34,South Morang (South),455
Males,30 - 34,Wollert,738
Females,30 - 34,Wollert,744
Males,30 - 34,Airport West,332
Females,30 - 34,Airport West,330
Males,30 - 34,Essendon Airport,0
Females,30 - 34,Essendon Airport,0
Males,30 - 34,Keilor,199
Females,30 - 34,Keilor,203
Males,30 - 34,Keilor East,805
Females,30 - 34,Keilor East,826
Males,30 - 34,Niddrie - Essendon West,223
Females,30 - 34,Niddrie - Essendon West,240
Males,30 - 34,Strathmore,214
Females,30 - 34,Strathmore,218
Males,30 - 34,Gisborne,327
Females,30 - 34,Gisborne,384
Males,30 - 34,Macedon,59
Females,30 - 34,Macedon,78
Males,30 - 34,Riddells Creek,81
Females,30 - 34,Riddells Creek,102
Males,30 - 34,Romsey,205
Females,30 - 34,Romsey,232
Males,30 - 34,Coburg North,357
Females,30 - 34,Coburg North,369
Males,30 - 34,Fawkner,640
Females,30 - 34,Fawkner,598
Males,30 - 34,Pascoe Vale,1255
Females,30 - 34,Pascoe Vale,1179
Males,30 - 34,Glenroy,1274
Females,30 - 34,Glenroy,1098
Males,30 - 34,Gowanbrae,92
Females,30 - 34,Gowanbrae,111
Males,30 - 34,Hadfield,195
Females,30 - 34,Hadfield,204
Males,30 - 34,Sunbury,307
Females,30 - 34,Sunbury,363
Males,30 - 34,Sunbury - South,911
Females,30 - 34,Sunbury - South,947
Males,30 - 34,Broadmeadows,677
Females,30 - 34,Broadmeadows,507
Males,30 - 34,Campbellfield - Coolaroo,603
Females,30 - 34,Campbellfield - Coolaroo,550
Males,30 - 34,Gladstone Park - Westmeadows,554
Females,30 - 34,Gladstone Park - Westmeadows,556
Males,30 - 34,Greenvale - Bulla,495
Females,30 - 34,Greenvale - Bulla,559
Males,30 - 34,Meadow Heights,497
Females,30 - 34,Meadow Heights,486
Males,30 - 34,Melbourne Airport,10
Females,30 - 34,Melbourne Airport,7
Males,30 - 34,Roxburgh Park - Somerton,657
Females,30 - 34,Roxburgh Park - Somerton,783
Males,30 - 34,Tullamarine,293
Females,30 - 34,Tullamarine,291
Males,30 - 34,Craigieburn - Central,321
Females,30 - 34,Craigieburn - Central,361
Males,30 - 34,Craigieburn - North,510
Females,30 - 34,Craigieburn - North,588
Males,30 - 34,Craigieburn - South,776
Females,30 - 34,Craigieburn - South,795
Males,30 - 34,Craigieburn - West,967
Females,30 - 34,Craigieburn - West,1052
Males,30 - 34,Mickleham - Yuroke,169
Females,30 - 34,Mickleham - Yuroke,170
Males,30 - 34,Bayswater,540
Females,30 - 34,Bayswater,539
Males,30 - 34,Knoxfield - Scoresby,510
Females,30 - 34,Knoxfield - Scoresby,556
Males,30 - 34,Lysterfield,119
Females,30 - 34,Lysterfield,137
Males,30 - 34,Rowville - Central,485
Females,30 - 34,Rowville - Central,500
Males,30 - 34,Rowville - North,186
Females,30 - 34,Rowville - North,230
Males,30 - 34,Rowville - South,259
Females,30 - 34,Rowville - South,308
Males,30 - 34,Wantirna,458
Females,30 - 34,Wantirna,484
Males,30 - 34,Wantirna South,467
Females,30 - 34,Wantirna South,492
Males,30 - 34,Boronia,942
Females,30 - 34,Boronia,912
Males,30 - 34,Ferntree Gully (North),467
Females,30 - 34,Ferntree Gully (North),550
Males,30 - 34,Ferntree Gully (South) - Upper Ferntree Gully,488
Females,30 - 34,Ferntree Gully (South) - Upper Ferntree Gully,505
Males,30 - 34,The Basin,131
Females,30 - 34,The Basin,139
Males,30 - 34,Donvale - Park Orchards,305
Females,30 - 34,Donvale - Park Orchards,348
Males,30 - 34,Warrandyte - Wonga Park,164
Females,30 - 34,Warrandyte - Wonga Park,162
Males,30 - 34,Bayswater North,476
Females,30 - 34,Bayswater North,469
Males,30 - 34,Croydon Hills - Warranwood,455
Females,30 - 34,Croydon Hills - Warranwood,493
Males,30 - 34,Ringwood,784
Females,30 - 34,Ringwood,815
Males,30 - 34,Ringwood East,680
Females,30 - 34,Ringwood East,771
Males,30 - 34,Ringwood North,232
Females,30 - 34,Ringwood North,257
Males,30 - 34,Croydon - East,647
Females,30 - 34,Croydon - East,733
Males,30 - 34,Croydon - West,428
Females,30 - 34,Croydon - West,530
Males,30 - 34,Croydon South,199
Females,30 - 34,Croydon South,184
Males,30 - 34,Forest Hill,348
Females,30 - 34,Forest Hill,377
Males,30 - 34,Mitcham (Vic.),685
Females,30 - 34,Mitcham (Vic.),739
Males,30 - 34,Nunawading,504
Females,30 - 34,Nunawading,514
Males,30 - 34,Vermont,301
Females,30 - 34,Vermont,340
Males,30 - 34,Vermont South,242
Females,30 - 34,Vermont South,249
Males,30 - 34,Belgrave - Selby,283
Females,30 - 34,Belgrave - Selby,271
Males,30 - 34,Chirnside Park,308
Females,30 - 34,Chirnside Park,309
Males,30 - 34,Healesville - Yarra Glen,340
Females,30 - 34,Healesville - Yarra Glen,378
Males,30 - 34,Kilsyth,355
Females,30 - 34,Kilsyth,392
Males,30 - 34,Lilydale - Coldstream,554
Females,30 - 34,Lilydale - Coldstream,639
Males,30 - 34,Monbulk - Silvan,118
Females,30 - 34,Monbulk - Silvan,133
Males,30 - 34,Montrose,200
Females,30 - 34,Montrose,215
Males,30 - 34,Mooroolbark,796
Females,30 - 34,Mooroolbark,853
Males,30 - 34,Mount Dandenong - Olinda,217
Females,30 - 34,Mount Dandenong - Olinda,242
Males,30 - 34,Mount Evelyn,312
Females,30 - 34,Mount Evelyn,329
Males,30 - 34,Upwey - Tecoma,243
Females,30 - 34,Upwey - Tecoma,265
Males,30 - 34,Wandin - Seville,193
Females,30 - 34,Wandin - Seville,220
Males,30 - 34,Yarra Valley,416
Females,30 - 34,Yarra Valley,452
Males,30 - 34,Beaconsfield - Officer,473
Females,30 - 34,Beaconsfield - Officer,527
Males,30 - 34,Bunyip - Garfield,179
Females,30 - 34,Bunyip - Garfield,212
Males,30 - 34,Emerald - Cockatoo,430
Females,30 - 34,Emerald - Cockatoo,460
Males,30 - 34,Koo Wee Rup,191
Females,30 - 34,Koo Wee Rup,230
Males,30 - 34,Pakenham - North,897
Females,30 - 34,Pakenham - North,1002
Males,30 - 34,Pakenham - South,1245
Females,30 - 34,Pakenham - South,1349
Males,30 - 34,Berwick - North,534
Females,30 - 34,Berwick - North,621
Males,30 - 34,Berwick - South,912
Females,30 - 34,Berwick - South,1036
Males,30 - 34,Doveton,546
Females,30 - 34,Doveton,468
Males,30 - 34,Hallam,417
Females,30 - 34,Hallam,421
Males,30 - 34,Narre Warren North,141
Females,30 - 34,Narre Warren North,139
Males,30 - 34,Endeavour Hills - North,385
Females,30 - 34,Endeavour Hills - North,426
Males,30 - 34,Endeavour Hills - South,437
Females,30 - 34,Endeavour Hills - South,453
Males,30 - 34,Narre Warren - North East,402
Females,30 - 34,Narre Warren - North East,462
Males,30 - 34,Narre Warren - South West,599
Females,30 - 34,Narre Warren - South West,582
Males,30 - 34,Cranbourne,754
Females,30 - 34,Cranbourne,788
Males,30 - 34,Cranbourne East,1467
Females,30 - 34,Cranbourne East,1669
Males,30 - 34,Cranbourne North,936
Females,30 - 34,Cranbourne North,1086
Males,30 - 34,Cranbourne South,305
Females,30 - 34,Cranbourne South,311
Males,30 - 34,Cranbourne West,881
Females,30 - 34,Cranbourne West,932
Males,30 - 34,Hampton Park - Lynbrook,1055
Females,30 - 34,Hampton Park - Lynbrook,1041
Males,30 - 34,Lynbrook - Lyndhurst,701
Females,30 - 34,Lynbrook - Lyndhurst,820
Males,30 - 34,Pearcedale - Tooradin,199
Females,30 - 34,Pearcedale - Tooradin,237
Males,30 - 34,Narre Warren South (East),261
Females,30 - 34,Narre Warren South (East),374
Males,30 - 34,Narre Warren South (West),525
Females,30 - 34,Narre Warren South (West),650
Males,30 - 34,Clarinda - Oakleigh South,383
Females,30 - 34,Clarinda - Oakleigh South,359
Males,30 - 34,Clayton South,729
Females,30 - 34,Clayton South,635
Males,30 - 34,Dandenong,1837
Females,30 - 34,Dandenong,1398
Males,30 - 34,Dandenong North,888
Females,30 - 34,Dandenong North,830
Males,30 - 34,Dingley Village,232
Females,30 - 34,Dingley Village,259
Males,30 - 34,Keysborough,1020
Females,30 - 34,Keysborough,1048
Males,30 - 34,Noble Park North,275
Females,30 - 34,Noble Park North,278
Males,30 - 34,Springvale,1072
Females,30 - 34,Springvale,904
Males,30 - 34,Springvale South,496
Females,30 - 34,Springvale South,509
Males,30 - 34,Noble Park - East,824
Females,30 - 34,Noble Park - East,701
Males,30 - 34,Noble Park - West,903
Females,30 - 34,Noble Park - West,830
Males,30 - 34,Ashwood - Chadstone,841
Females,30 - 34,Ashwood - Chadstone,829
Males,30 - 34,Clayton,1231
Females,30 - 34,Clayton,1011
Males,30 - 34,Glen Waverley - East,551
Females,30 - 34,Glen Waverley - East,559
Males,30 - 34,Glen Waverley - West,535
Females,30 - 34,Glen Waverley - West,564
Males,30 - 34,Mount Waverley - North,396
Females,30 - 34,Mount Waverley - North,386
Males,30 - 34,Mount Waverley - South,557
Females,30 - 34,Mount Waverley - South,597
Males,30 - 34,Mulgrave,721
Females,30 - 34,Mulgrave,771
Males,30 - 34,Oakleigh - Huntingdale,929
Females,30 - 34,Oakleigh - Huntingdale,876
Males,30 - 34,Wheelers Hill,412
Females,30 - 34,Wheelers Hill,460
Males,30 - 34,Ardeer - Albion,533
Females,30 - 34,Ardeer - Albion,433
Males,30 - 34,Cairnlea,335
Females,30 - 34,Cairnlea,338
Males,30 - 34,Deer Park - Derrimut,1323
Females,30 - 34,Deer Park - Derrimut,1398
Males,30 - 34,Delahey,320
Females,30 - 34,Delahey,293
Males,30 - 34,Keilor Downs,455
Females,30 - 34,Keilor Downs,409
Males,30 - 34,Kings Park (Vic.),486
Females,30 - 34,Kings Park (Vic.),505
Males,30 - 34,St Albans - North,945
Females,30 - 34,St Albans - North,787
Males,30 - 34,St Albans - South,691
Females,30 - 34,St Albans - South,652
Males,30 - 34,Sunshine,624
Females,30 - 34,Sunshine,441
Males,30 - 34,Sunshine North,483
Females,30 - 34,Sunshine North,452
Males,30 - 34,Sunshine West,766
Females,30 - 34,Sunshine West,730
Males,30 - 34,Sydenham,463
Females,30 - 34,Sydenham,488
Males,30 - 34,Taylors Lakes,397
Females,30 - 34,Taylors Lakes,373
Males,30 - 34,Altona,436
Females,30 - 34,Altona,471
Males,30 - 34,Altona Meadows,787
Females,30 - 34,Altona Meadows,784
Males,30 - 34,Altona North,670
Females,30 - 34,Altona North,588
Males,30 - 34,Newport,738
Females,30 - 34,Newport,771
Males,30 - 34,Seabrook,170
Females,30 - 34,Seabrook,221
Males,30 - 34,Williamstown,353
Females,30 - 34,Williamstown,376
Males,30 - 34,Braybrook,1019
Females,30 - 34,Braybrook,931
Males,30 - 34,Footscray,1179
Females,30 - 34,Footscray,1036
Males,30 - 34,Maribyrnong,692
Females,30 - 34,Maribyrnong,686
Males,30 - 34,Seddon - Kingsville,505
Females,30 - 34,Seddon - Kingsville,568
Males,30 - 34,West Footscray - Tottenham,698
Females,30 - 34,West Footscray - Tottenham,640
Males,30 - 34,Yarraville,715
Females,30 - 34,Yarraville,781
Males,30 - 34,Bacchus Marsh,621
Females,30 - 34,Bacchus Marsh,658
Males,30 - 34,Hillside,784
Females,30 - 34,Hillside,909
Males,30 - 34,Melton,627
Females,30 - 34,Melton,717
Males,30 - 34,Melton South,1021
Females,30 - 34,Melton South,1090
Males,30 - 34,Melton West,689
Females,30 - 34,Melton West,788
Males,30 - 34,Rockbank - Mount Cottrell,202
Females,30 - 34,Rockbank - Mount Cottrell,114
Males,30 - 34,Taylors Hill,735
Females,30 - 34,Taylors Hill,896
Males,30 - 34,Burnside,141
Females,30 - 34,Burnside,161
Males,30 - 34,Burnside Heights,303
Females,30 - 34,Burnside Heights,357
Males,30 - 34,Caroline Springs,715
Females,30 - 34,Caroline Springs,802
Males,30 - 34,Hoppers Crossing - North,690
Females,30 - 34,Hoppers Crossing - North,695
Males,30 - 34,Hoppers Crossing - South,760
Females,30 - 34,Hoppers Crossing - South,782
Males,30 - 34,Laverton,640
Females,30 - 34,Laverton,620
Males,30 - 34,Tarneit,2148
Females,30 - 34,Tarneit,2506
Males,30 - 34,Truganina,2017
Females,30 - 34,Truganina,1831
Males,30 - 34,Werribee - South,444
Females,30 - 34,Werribee - South,395
Males,30 - 34,Wyndham Vale,1238
Females,30 - 34,Wyndham Vale,1392
Males,30 - 34,Point Cook - East,589
Females,30 - 34,Point Cook - East,651
Males,30 - 34,Point Cook - North,994
Females,30 - 34,Point Cook - North,1179
Males,30 - 34,Point Cook - South,900
Females,30 - 34,Point Cook - South,1135
Males,30 - 34,Werribee - East,749
Females,30 - 34,Werribee - East,798
Males,30 - 34,Werribee - West,424
Females,30 - 34,Werribee - West,442
Males,30 - 34,Carrum Downs,785
Females,30 - 34,Carrum Downs,853
Males,30 - 34,Frankston,874
Females,30 - 34,Frankston,820
Males,30 - 34,Frankston North,708
Females,30 - 34,Frankston North,786
Males,30 - 34,Frankston South,387
Females,30 - 34,Frankston South,452
Males,30 - 34,Langwarrin,769
Females,30 - 34,Langwarrin,836
Males,30 - 34,Seaford (Vic.),659
Females,30 - 34,Seaford (Vic.),662
Males,30 - 34,Skye - Sandhurst,488
Females,30 - 34,Skye - Sandhurst,560
Males,30 - 34,Dromana,226
Females,30 - 34,Dromana,255
Males,30 - 34,Flinders,69
Females,30 - 34,Flinders,79
Males,30 - 34,Hastings - Somers,544
Females,30 - 34,Hastings - Somers,678
Males,30 - 34,Mornington,524
Females,30 - 34,Mornington,589
Males,30 - 34,Mount Eliza,231
Females,30 - 34,Mount Eliza,277
Males,30 - 34,Mount Martha,324
Females,30 - 34,Mount Martha,416
Males,30 - 34,Point Nepean,349
Females,30 - 34,Point Nepean,388
Males,30 - 34,Rosebud - McCrae,443
Females,30 - 34,Rosebud - McCrae,505
Males,30 - 34,Somerville,519
Females,30 - 34,Somerville,532
Males,30 - 34,Ballarat,3131
Females,30 - 34,Ballarat,3329
Males,30 - 34,Alfredton,338
Females,30 - 34,Alfredton,428
Males,30 - 34,Ballarat,293
Females,30 - 34,Ballarat,331
Males,30 - 34,Ballarat - North,743
Females,30 - 34,Ballarat - North,752
Males,30 - 34,Ballarat - South,817
Females,30 - 34,Ballarat - South,863
Males,30 - 34,Buninyong,172
Females,30 - 34,Buninyong,158
Males,30 - 34,Delacombe,223
Females,30 - 34,Delacombe,216
Males,30 - 34,Smythes Creek,79
Females,30 - 34,Smythes Creek,106
Males,30 - 34,Wendouree - Miners Rest,467
Females,30 - 34,Wendouree - Miners Rest,478
Males,30 - 34,Creswick - Daylesford - Ballan,561
Females,30 - 34,Creswick - Daylesford - Ballan,645
Males,30 - 34,Bacchus Marsh Region,144
Females,30 - 34,Bacchus Marsh Region,169
Males,30 - 34,Creswick - Clunes,170
Females,30 - 34,Creswick - Clunes,176
Males,30 - 34,Daylesford,142
Females,30 - 34,Daylesford,158
Males,30 - 34,Gordon (Vic.),106
Females,30 - 34,Gordon (Vic.),146
Males,30 - 34,Maryborough - Pyrenees,468
Females,30 - 34,Maryborough - Pyrenees,561
Males,30 - 34,Avoca,59
Females,30 - 34,Avoca,57
Males,30 - 34,Beaufort,107
Females,30 - 34,Beaufort,108
Males,30 - 34,Golden Plains - North,98
Females,30 - 34,Golden Plains - North,125
Males,30 - 34,Maryborough (Vic.),128
Females,30 - 34,Maryborough (Vic.),185
Males,30 - 34,Maryborough Region,83
Females,30 - 34,Maryborough Region,92
Males,30 - 34,Bendigo,2976
Females,30 - 34,Bendigo,3099
Males,30 - 34,Bendigo,481
Females,30 - 34,Bendigo,457
Males,30 - 34,California Gully - Eaglehawk,409
Females,30 - 34,California Gully - Eaglehawk,362
Males,30 - 34,East Bendigo - Kennington,314
Females,30 - 34,East Bendigo - Kennington,328
Males,30 - 34,Flora Hill - Spring Gully,274
Females,30 - 34,Flora Hill - Spring Gully,264
Males,30 - 34,Kangaroo Flat - Golden Square,663
Females,30 - 34,Kangaroo Flat - Golden Square,703
Males,30 - 34,Maiden Gully,164
Females,30 - 34,Maiden Gully,181
Males,30 - 34,Strathfieldsaye,223
Females,30 - 34,Strathfieldsaye,270
Males,30 - 34,White Hills - Ascot,447
Females,30 - 34,White Hills - Ascot,535
Males,30 - 34,Heathcote - Castlemaine - Kyneton,1014
Females,30 - 34,Heathcote - Castlemaine - Kyneton,1043
Males,30 - 34,Bendigo Region - South,180
Females,30 - 34,Bendigo Region - South,205
Males,30 - 34,Castlemaine,314
Females,30 - 34,Castlemaine,231
Males,30 - 34,Castlemaine Region,119
Females,30 - 34,Castlemaine Region,140
Males,30 - 34,Heathcote,74
Females,30 - 34,Heathcote,79
Males,30 - 34,Kyneton,211
Females,30 - 34,Kyneton,244
Males,30 - 34,Woodend,122
Females,30 - 34,Woodend,143
Males,30 - 34,Loddon - Elmore,203
Females,30 - 34,Loddon - Elmore,247
Males,30 - 34,Bendigo Region - North,85
Females,30 - 34,Bendigo Region - North,103
Males,30 - 34,Loddon,118
Females,30 - 34,Loddon,136
Males,30 - 34,Barwon - West,499
Females,30 - 34,Barwon - West,597
Males,30 - 34,Bannockburn,183
Females,30 - 34,Bannockburn,223
Males,30 - 34,Golden Plains - South,188
Females,30 - 34,Golden Plains - South,232
Males,30 - 34,Winchelsea,123
Females,30 - 34,Winchelsea,146
Males,30 - 34,Geelong,6151
Females,30 - 34,Geelong,6303
Males,30 - 34,Belmont,532
Females,30 - 34,Belmont,530
Males,30 - 34,Corio - Norlane,761
Females,30 - 34,Corio - Norlane,833
Males,30 - 34,Geelong,476
Females,30 - 34,Geelong,470
Males,30 - 34,Geelong West - Hamlyn Heights,740
Females,30 - 34,Geelong West - Hamlyn Heights,782
Males,30 - 34,Grovedale,800
Females,30 - 34,Grovedale,832
Males,30 - 34,Highton,570
Females,30 - 34,Highton,592
Males,30 - 34,Lara,704
Females,30 - 34,Lara,608
Males,30 - 34,Leopold,407
Females,30 - 34,Leopold,458
Males,30 - 34,Newcomb - Moolap,386
Females,30 - 34,Newcomb - Moolap,403
Males,30 - 34,Newtown (Vic.),277
Females,30 - 34,Newtown (Vic.),303
Males,30 - 34,North Geelong - Bell Park,499
Females,30 - 34,North Geelong - Bell Park,490
Males,30 - 34,Surf Coast - Bellarine Peninsula,1738
Females,30 - 34,Surf Coast - Bellarine Peninsula,2097
Males,30 - 34,Clifton Springs,310
Females,30 - 34,Clifton Springs,362
Males,30 - 34,Lorne - Anglesea,105
Females,30 - 34,Lorne - Anglesea,110
Males,30 - 34,Ocean Grove - Barwon Heads,658
Females,30 - 34,Ocean Grove - Barwon Heads,781
Males,30 - 34,Portarlington,107
Females,30 - 34,Portarlington,130
Males,30 - 34,Point Lonsdale - Queenscliff,53
Females,30 - 34,Point Lonsdale - Queenscliff,62
Males,30 - 34,Torquay,507
Females,30 - 34,Torquay,655
Males,30 - 34,Upper Goulburn Valley,1272
Females,30 - 34,Upper Goulburn Valley,1371
Males,30 - 34,Alexandra,118
Females,30 - 34,Alexandra,144
Males,30 - 34,Euroa,117
Females,30 - 34,Euroa,119
Males,30 - 34,Kilmore - Broadford,382
Females,30 - 34,Kilmore - Broadford,410
Males,30 - 34,Mansfield (Vic.),203
Females,30 - 34,Mansfield (Vic.),224
Males,30 - 34,Nagambie,84
Females,30 - 34,Nagambie,95
Males,30 - 34,Seymour,137
Females,30 - 34,Seymour,161
Males,30 - 34,Seymour Region,147
Females,30 - 34,Seymour Region,142
Males,30 - 34,Upper Yarra Valley,8
Females,30 - 34,Upper Yarra Valley,4
Males,30 - 34,Yea,75
Females,30 - 34,Yea,66
Males,30 - 34,Wangaratta - Benalla,1053
Females,30 - 34,Wangaratta - Benalla,1131
Males,30 - 34,Benalla,216
Females,30 - 34,Benalla,248
Males,30 - 34,Benalla Region,84
Females,30 - 34,Benalla Region,83
Males,30 - 34,Rutherglen,85
Females,30 - 34,Rutherglen,80
Males,30 - 34,Wangaratta,484
Females,30 - 34,Wangaratta,525
Males,30 - 34,Wangaratta Region,184
Females,30 - 34,Wangaratta Region,190
Males,30 - 34,Wodonga - Alpine,1833
Females,30 - 34,Wodonga - Alpine,2095
Males,30 - 34,Beechworth,103
Females,30 - 34,Beechworth,109
Males,30 - 34,Bright - Mount Beauty,167
Females,30 - 34,Bright - Mount Beauty,199
Males,30 - 34,Chiltern - Indigo Valley,63
Females,30 - 34,Chiltern - Indigo Valley,68
Males,30 - 34,Myrtleford,91
