Postcode,active,cases,data_date,Suburb
3190,0,73,30/01/2021,Highett
3191,0,11,30/01/2021,Sandringham
3192,0,64,30/01/2021,Cheltenham
3193,0,26,30/01/2021,Black rock
3194,0,16,30/01/2021,Mentone
3195,0,54,30/01/2021,Mordialloc
3196,0,79,30/01/2021,Chelsea heights
3197,0,13,30/01/2021,Patterson lakes
3198,0,21,30/01/2021,Seaford
3199,0,99,30/01/2021,Frankston east lpo
3200,0,27,30/01/2021,Pines forest
3201,0,33,30/01/2021,Carrum downs
3204,0,54,30/01/2021,Bentleigh
3205,0,18,30/01/2021,South melbourne
3206,0,31,30/01/2021,Albert park
3207,0,41,30/01/2021,Port melbourne
3211,0,20,30/01/2021,Little river
3212,0,17,30/01/2021,Lara lake
3213,0,17,30/01/2021,Anakie
3214,0,51,30/01/2021,Corio
3215,0,44,30/01/2021,North geelong
3216,0,111,30/01/2021,Belmont
3217,0,17,30/01/2021,Mount duneed
3218,0,12,30/01/2021,Geelong west
3219,0,18,30/01/2021,Geelong east
3220,0,23,30/01/2021,Newtown
3221,0,1,30/01/2021,Ceres
3222,0,10,30/01/2021,Drysdale
3223,0,4,30/01/2021,St leonards
3224,0,13,30/01/2021,Leopold
3225,0,3,30/01/2021,Queenscliff
3226,0,14,30/01/2021,Ocean grove
3227,0,1,30/01/2021,Barwon heads
3228,0,7,30/01/2021,Bellbrae
3230,0,2,30/01/2021,Anglesea
3231,0,2,30/01/2021,Aireys inlet
3232,0,1,30/01/2021,Lorne p-12 college
3233,0,0,30/01/2021,Apollo bay
3235,0,0,30/01/2021,Deans marsh
3236,0,0,30/01/2021,Forrest
3238,0,0,30/01/2021,Lavers hill
3239,0,0,30/01/2021,Carlisle river
3240,0,1,30/01/2021,Moriac
3241,0,0,30/01/2021,Winchelsea
3242,0,0,30/01/2021,Birregurra
3249,0,7,30/01/2021,Colac
3250,0,120,30/01/2021,Colac
3251,0,7,30/01/2021,Beeac
3260,0,1,30/01/2021,Camperdown
3264,0,0,30/01/2021,Terang
3265,0,1,30/01/2021,Cudgee
3266,0,1,30/01/2021,Cobden
3268,0,0,30/01/2021,Nullawarre
3272,0,1,30/01/2021,Mortlake
3276,0,0,30/01/2021,Woolsthorpe
3277,0,0,30/01/2021,Allansford
3280,0,13,30/01/2021,Warrnambool
3281,0,1,30/01/2021,Woodford
3282,0,0,30/01/2021,Koroit
3284,0,0,30/01/2021,Port fairy
3285,0,1,30/01/2021,Narrawong
3286,0,0,30/01/2021,Macarthur
3287,0,0,30/01/2021,Hawkesdale
3289,0,0,30/01/2021,Penshurst
3294,0,0,30/01/2021,Dunkeld
3300,0,1,30/01/2021,Hamilton
3301,0,0,30/01/2021,Tarrington
3302,0,0,30/01/2021,Branxholme
3304,0,1,30/01/2021,Dartmoor
3305,0,18,30/01/2021,Portland
3310,0,0,30/01/2021,Merino
3311,0,0,30/01/2021,Casterton
