Suburb,Value
Gladstone Park Westmeadows,18732
Glen Forrest Darlington,7264
Glen Iris East,17713
Glen Waverley East,22472
Glen Waverley West,20964
Glenelg,8715
Glenorchy,11641
Glenroy,24986
Gnowangerup,2879
Golden Grove,10495
Golden Plains North,4862
Golden Plains South,7433
Goolwa Port Elliot,11729
Gordon,5999
Gosnells,20503
Gowanbrae,3129
Goyder,4194
Grant,6130
Greenfields,9866
Greensborough,21667
Greenvale Bulla,20176
Greenwith,9171
Greenwood Warwick,13783
Grovedale,29379
Hackham Onkaparinga Hills,6229
Hackham West Huntfield Heights,7676
Hadfield,6165
Hallam,11768
Hallett Cove,12761
Halls Creek,3496
Halls Head Erskine,19677
Hamilton,10125
Hamilton Hill,11088
Hampton,19344
Hampton Park Lynbrook,27656
Happy Valley,13893
Harvey,9056
Hastings Somers,23654
Hawthorn,26161
Hawthorn East,17244
Hazelmere Guildford,4528
Healesville Yarra Glen,14638
Heathcote,4690
Heathridge Connolly,10686
Heidelberg Rosanna,16477
Heidelberg West,15764
Helena Valley Koongamia,5727
Henderson,24
Henley Beach,15834
High Wycombe,12394
Highbury Dernancourt,10853
Highton,23798
Hillarys,11193
Hillside,25220
Hindmarsh Brompton,18853
Hobart,8721
Hope Valley Modbury,16935
Hope Valley Postans,37
Hoppers Crossing North,20279
Hoppers Crossing South,20664
Horsham,16589
Horsham Region,3394
Howrah Tranmere,11145
Hughesdale,8418
Huntingdale Southern River,21499
Hurstbridge,3624
Iluka Burns Beach,9586
Ingle Farm,15097
Innaloo Doubleview,17934
Irwin,3567
Irymple,7193
Ivanhoe,12927
Ivanhoe East Eaglemont,8295
Jamestown,4647
Jandakot,2644
Joondalup Edgewater,13815
Kadina,5598
Kalamunda Maida Vale Gooseberry Hill,15203
Kalgoorlie,13347
Kalgoorlie North,8926
Kambalda Coolgardie Norseman,4261
Kangaroo Flat Golden Square,20563
Kangaroo Island,4979
Karalee Barellan Point,6144
Karana Downs,6361
Karoonda Lameroo,3084
Karratha,17102
Karrinyup Gwelup Carine,21776
Katanning,4472
Keilor,9113
Keilor Downs,13834
Keilor East,28673
Kelmscott,10619
Kensington,12173
Kerang,3868
Kew,27190
Kew East,6977
Keysborough,30889
Kilmore Broadford,15515
Kilsyth,9833
Kimba Cleve Franklin Harbour,4308
Kinglake,4156
Kings Park,14691
Kingsbury,13254
Kingsley,13208
Kingston Huntingfield,12035
Kingston Robe,3821
Kingston Beach Blackmans Bay,11077
Knoxfield Scoresby,17194
Kojonup,4096
Koo Wee Rup,8566
Korumburra,9586
Kulin,4260
Kununurra,7287
Kwinana Industrial,25
Kyabram,11065
Kyneton,10226
Lakes Entrance,10397
Lalor,25073
Langwarrin,25293
Lara,20579
Largs Bay Semaphore,14927
Laverton,11577
Le Hunte Elliston,2286
Leeming,11011
Leichhardt One Mile,8675
Leinster Leonora,4993
Lenah Valley Mount Stuart,8833
Leongatha,11470
Leopold,13836
Lesmurdie Bickley Carmel,11900
Light,9453
Lilydale Coldstream,19860
Lindisfarne Rose Bay,7505
Little Grove Elleker,3871
Lockington Gunbower,3856
Lockleys,13237
Lockridge Kiara,12209
Loddon,7035
Longford Loch Sport,4452
Lonsdale,30
Lorne Anglesea,5444
Loxton,5479
Loxton Region,1756
Lynbrook Lyndhurst,17486
Lyndoch,6416
Lysterfield,7023
Macedon,3611
Maddington Orange Grove Martin,14690
Madeley Darch Landsdale,29146
Maffra,14335
Maiden Gully,5457
Malaga,13
Mallala,3289
Malmalling Reservoir,10
Malvern Glen Iris,21866
Malvern East,23845
Mandurah,8833
Mandurah East,6521
Mandurah North,20387
Mandurah South,10504
Manjimup,5428
Manning Waterford,11986
Mannum,6476
Mansfield,9446
Marangaroo,10688
Margaret River,10088
Margate Snug,8254
Maribyrnong,14115
Marino Seaview Downs,9666
Maryborough,8066
Maryborough Region,5355
Mawson Lakes Globe Derby Park,14278
Maylands,13102
McKail Willyung,11060
McLaren Vale,6474
Meadow Heights,15770
Meekatharra,2861
Melbourne,51894
Melbourne Airport,194
Melton,20596
Melton South,30689
Melton West,20892
Melville,17341
Mentone,14185
Merbein,4877
Mernda,23359
Merredin,5150
Mickleham Yuroke,11227
Middle Swan Herne Hill,5705
Midland Guildford,10697
Mildura North,18709
Mildura South,15233
Mildura Region,3775
Mill Park North,18708
Mill Park South,12404
Millicent,5385
Mindarie Quinns Rocks Jindalee,20356
Mitcham,17527
Mitchell Park,16023
Modbury Heights,19361
Moe Newborough,16821
Moira,2676
Monbulk Silvan,5849
Montmorency Briar Hill,17078
Montrose,7138
Montrose Rosetta,5104
Moonah,5355
Moonee Ponds,16051
Moonta,5148
Moora,4689
Moorabbin Heatherton,9747
Mooroolbark,24057
Mooroopna,8144
Morawa,3768
Mordialloc Parkdale,21957
Morley,22427
Mornington,26211
Mornington Warrane,4813
Morphett Vale East,13758
Morphett Vale West,9873
Morphettville,15651
Morwell,14042
Mosman Park Peppermint Grove,10843
Mount Baw Baw Region,6191
Mount Dandenong Olinda,10197
Mount Eliza,19140
Mount Evelyn,10298
Mount Gambier East,15225
Mount Gambier West,14542
Mount Hawthorn Leederville,11592
Mount Lawley Inglewood,17290
Mount Martha,20022
Mount Nasura Mount Richon Bedfordale,8254
Mount Nelson Dynnyrne,5289
Mount Waverley North,16452
Mount Waverley South,20239
Moyne East,6685
Moyne West,9841
Mukinbudin,3122
Mulgrave,21035
Mullaloo Kallaroo,11651
Mundaring,13065
Mundijong,7265
Murdoch Kardinya,12827
Murray,2528
Murray Bridge,19078
Murray Bridge Region,3825
Murrumbeena,10100
Myrtleford,4753
Nagambie,4269
Naracoorte,6337
Naracoorte Region,2218
Narre Warren North East,14195
Narre Warren South West,15009
Narre Warren North,8646
Narre Warren South East,13864
Narre Warren South West,17860
Narrogin,4517
Nedlands Dalkeith Crawley,19410
New Norfolk,6885
New Town,6294
Newcomb Moolap,15119
Newman,4785
Newport,19563
Newtown,10833
Nhill Region,6722
Niddrie Essendon West,7748
Noble Park East,13620
Noble Park West,20178
Noble Park North,7936
Nollamara Westminster,18998
Noranda,7965
North Geelong Bell Park,15743
North Haven,14760
North Ipswich Tivoli,6565
North Melbourne,26459
North Perth,9227
Northam,11049
Northampton Mullewa Greenough,5490
Northcote,27913
Numurkah,12400
Nunawading,12925
Nuriootpa,7131
Oakleigh Huntingdale,24068
Ocean Grove Barwon Heads,28053
Ocean Reef,7939
Old Beach Otago,4867
Orbost,6448
Ormond Glen Huntly,14727
Osborne Park Industrial,18
Otway,3608
Outback,2542
Padbury,8569
Pakenham North,22657
Pakenham South,33108
Panorama,8594
Panton Hill St Andrews,5490
Para Hills,14826
Parafield,118
Parafield Gardens,18032
Paralowie,17364
Parkville,8756
Parkwood Ferndale Lynwood,13996
Parmelia Orelia,11225
Pascoe Vale,26957
Pascoe Vale South,11081
Paynesville,6838
Pearcedale Tooradin,8176
Pemberton,5098
Penola,3253
Perth Airport,31
Perth City,36226
Peterborough Mount Remarkable,5418
Phillip Island,11750
Pinjarra,10095
Plantagenet,5249
Plenty Yarrambat,9985
Plympton,25564
Point Cook East,17886
Point Cook North,25541
Point Cook South,19473
Point Lonsdale Queenscliff,4496
Point Nepean,18709
Pooraka Cavan,7988
Port Adelaide,11169
Port Augusta,13561
Port Hedland,4472
Port Kennedy,13868
Port Lincoln,16418
Port Melbourne,18049
Port Melbourne Industrial,438
Port Pirie,14162
Port Pirie Region,3407
Portarlington,8158
Portland,10928
Prahran Windsor,22234
Preston East,22907
Preston West,13608
Quorn Lake Gilles,2198
Raceview,15917
Red Cliffs,5990
Redwood Park,16436
Renmark,4834
Renmark Region,5073
Research North Warrandyte,7055
Reservoir East,30027
Reservoir West,26086
Reynella,10318
Richmond,35852
Riddells Creek,4319
Ringwood,18861
Ringwood East,21744
Ringwood North,10076
Ripley,8112
Risdon Vale,3326
Riverton Shelley Rossmoyne,13863
Rivervale Kewdale Cloverdale,27315
Riverview,3034
Robinvale,3328
Rochester,3888
Rockbank Mount Cottrell,8815
Rockingham,15655
Rockingham Lakes,10
Roebourne,5715
Roebuck,2533
Rokeby,6707
Roleystone,7280
Romsey,10288
Rosebud McCrae,22286
Rosedale,4918
Rowville Central,15920
Rowville North,8372
Rowville South,10966
Roxburgh Park Somerton,25060
Roxby Downs,3932
Royal Park Hendon Albert Park,6215
Rushworth,4043
Rutherglen,4049
Safety Bay Shoalwater,11792
Sale,15135
Salisbury,18369
Salisbury East,18078
Salisbury North,17964
Samford Valley,12386
Sandringham Black Rock,18313
Sandy Bay,12844
Scarborough,17029
Seabrook,5542
Seaford,17490
Seaton Grange,17250
Seddon Kingsville,10121
Serpentine Jarrahdale,4672
Seville Grove,11245
Seymour,6452
Seymour Region,4470
Sheidow Park Trott Park,10439
Shepparton North,19540
Shepparton South,24420
Shepparton Region East,3856
Shepparton Region West,10429
Singleton Golden Bay Secret Harbour,21897
Skye Sandhurst,14247
Smythes Creek,4080
Somerville,19402
Sorell Richmond,9237
Sorrento Marmion,10362
South Arm,4510
South Bunbury Bunbury,12123
South Hedland,10004
South Hobart Fern Tree,6498
South Lake Cockburn Central,11790
South Melbourne,13509
South Morang North,13438
South Morang South,12716
South Yarra East,25051
South Yarra West,7010
Southbank,26324
Southern Grampians,6048
Spearwood,10981
Springvale,23915
Springvale South,13408
St Agnes Ridgehaven,12723
St Albans North,21795
St Albans South,18554
St Arnaud,3284
St Kilda,30447
St Kilda East,18583
Stawell,8109
Stirling Osborne Park,14224
Strathalbyn,7578
Strathalbyn Region,7768
Strathfieldsaye,9905
Strathmore,10474
Stratton Jane Brook,7107
Subiaco Shenton Park,17502
Success Hammond Park,16799
Sunbury,13558
Sunbury South,30635
Sunshine,10641
Sunshine North,12533
Sunshine West,20267
Mont Albert,10674
Canterbury,17458
Swan Hill,11089
Swan Hill Region,6237
Swan View Greenmount Midvale,12172
Swanbourne Mount Claremont,9670
Sydenham,12799
Tanunda,4763
Tapping Ashby Sinagra,13743
Tarneit,46707
Taroona Bonnet Hill,3729
Tatiara,6816
Taylors Hill,21219
Taylors Lakes,18323
Templestowe,17765
Templestowe Lower,14484
The Basin,4472
The Coorong,5435
The Hills District,24504
The Parks,19138
The Vines,12465
Thomastown,21603
Thornbury,20381
Thornlie,23380
Toodyay,4458
Toorak,14271
Torquay,21766
Torrens Island,3
Towong,6014
Trafalgar,8078
Traralgon,28207
Trigg North Beach Watermans Bay,8101
Truganina,33144
Tuart Hill Joondanna,12328
Tullamarine,6842
Two Rocks,3575
Upper Yarra Valley,194
Upwey Tecoma,10023
Vermont,11310
Vermont South,12388
Victor Harbor,15192
Victoria Park Lathlain Burswood,15466
Viewbank Yallambie,19242
Wagin,4893
Waikerie,6856
Waikiki,12622
Wakefield Barunga West,9589
Wallan,19654
Wallaroo,4259
Wandin Seville,8067
Wangaratta,19411
Wangaratta Region,9776
Wanneroo,27378
Wantirna,14643
Wantirna South,18995
Warnbro,10918
Waroona,4212
Warradale,16238
Warragul,20764
Warrandyte Wonga Park,10657
Warrnambool North,22229
Warrnambool South,13294
Watsonia,9697
Wattle Glen Diamond Creek,14589
Wattle Range,3365
Welshpool,26
Wembley West Leederville Glendalough,18705
Wembley Downs Churchlands Woodlands,14816
Wendouree Miners Rest,15101
Werribee East,21064
Werribee South,14162
Werribee West,16270
West Beach,5218
West Footscray Tottenham,12929
West Hobart,6302
West Lakes,15063
West Moonah,4084
West Wimmera,2713
West Wodonga,15441
Western,80
Westlake,4582
Wheelers Hill,21038
White Hills Ascot,13789
Whittlesea,8911
Whyalla,21638
Willagee,5103
Willetton,18562
Williamstown,17270
Willunga,3582
Wilsons Promontory,13
Winchelsea,5952
Windsor,8353
Winthrop,5970
Withers Usher,5017
Wodonga,26642
Wollert,16073
Wonthaggi Inverloch,24334
Woodcroft,11727
Woodend,7512
Woodvale,9476
Woodville Cheltenham,18627
Wooloowin Lutwyche,11154
Wyndham Vale,29215
Yackandandah,4684
Yallourn North Glengarry,4692
Yanchep,11037
Yangebup,7598
Yankalilla,6189
Yarra North,10290
Yarra Valley,16836
Yarram,5444
Yarraville,16621
Yarrawonga,8454
Yarriambiack,6580
Yea,3756
Yokine Coolbinia Menora,16399
York Beverley,5333
Yorke Peninsula North,7276
Yorke Peninsula South,4028
